ID	Nome	Depart.	Tempo	Número da máquina	
14		Not Set1	 18/06/2025     17:00:39	1
13		Not Set1	 18/06/2025     17:00:47	1
10		Not Set1	 18/06/2025     17:00:53	1
3		Not Set1	 18/06/2025     17:01:08	1
3		Not Set1	 19/06/2025     06:52:38	1
15		Not Set1	 19/06/2025     06:54:37	1
14		Not Set1	 19/06/2025     06:54:45	1
4		Not Set1	 19/06/2025     06:54:53	1
11		Not Set1	 19/06/2025     06:55:03	1
13		Not Set1	 19/06/2025     06:55:11	1
9		Not Set1	 19/06/2025     06:56:06	1
10		Not Set1	 19/06/2025     06:56:17	1
7		Not Set1	 19/06/2025     07:13:51	1
7		Not Set1	 19/06/2025     11:59:44	1
4		Not Set1	 19/06/2025     11:59:52	1
15		Not Set1	 19/06/2025     12:00:01	1
11		Not Set1	 19/06/2025     12:00:45	1
14		Not Set1	 19/06/2025     12:00:51	1
9		Not Set1	 19/06/2025     12:01:01	1
3		Not Set1	 19/06/2025     12:01:06	1
10		Not Set1	 19/06/2025     12:01:21	1
13		Not Set1	 19/06/2025     12:01:30	1
15		Not Set1	 19/06/2025     12:56:47	1
10		Not Set1	 19/06/2025     12:57:18	1
4		Not Set1	 19/06/2025     12:57:24	1
11		Not Set1	 19/06/2025     12:58:15	1
14		Not Set1	 19/06/2025     12:58:20	1
13		Not Set1	 19/06/2025     12:58:33	1
3		Not Set1	 19/06/2025     12:58:52	1
9		Not Set1	 19/06/2025     12:59:12	1
7		Not Set1	 19/06/2025     13:23:46	1
15		Not Set1	 19/06/2025     14:59:27	1
7		Not Set1	 19/06/2025     14:59:34	1
4		Not Set1	 19/06/2025     14:59:41	1
11		Not Set1	 19/06/2025     14:59:58	1
13		Not Set1	 19/06/2025     15:00:05	1
14		Not Set1	 19/06/2025     15:00:11	1
3		Not Set1	 19/06/2025     15:00:17	1
9		Not Set1	 19/06/2025     15:00:28	1
10		Not Set1	 19/06/2025     15:00:52	1
13		Not Set1	 20/06/2025     06:55:15	1
3		Not Set1	 20/06/2025     06:55:26	1
15		Not Set1	 20/06/2025     06:55:59	1
9		Not Set1	 20/06/2025     06:56:08	1
4		Not Set1	 20/06/2025     06:56:16	1
11		Not Set1	 20/06/2025     06:56:28	1
10		Not Set1	 20/06/2025     06:56:38	1
14		Not Set1	 20/06/2025     06:56:49	1
7		Not Set1	 20/06/2025     08:07:00	1
15		Not Set1	 20/06/2025     11:59:22	1
4		Not Set1	 20/06/2025     11:59:38	1
11		Not Set1	 20/06/2025     12:00:04	1
14		Not Set1	 20/06/2025     12:00:10	1
9		Not Set1	 20/06/2025     12:00:17	1
3		Not Set1	 20/06/2025     12:00:27	1
13		Not Set1	 20/06/2025     12:00:34	1
10		Not Set1	 20/06/2025     12:00:52	1
7		Not Set1	 20/06/2025     12:08:00	1
13		Not Set1	 20/06/2025     12:55:52	1
14		Not Set1	 20/06/2025     12:56:04	1
11		Not Set1	 20/06/2025     12:56:18	1
4		Not Set1	 20/06/2025     12:56:33	1
15		Not Set1	 20/06/2025     12:57:41	1
3		Not Set1	 20/06/2025     12:58:34	1
9		Not Set1	 20/06/2025     12:59:08	1
10		Not Set1	 20/06/2025     12:59:35	1
7		Not Set1	 20/06/2025     13:02:36	1
4		Not Set1	 20/06/2025     16:18:50	1
7		Not Set1	 20/06/2025     16:18:58	1
3		Not Set1	 20/06/2025     16:19:05	1
13		Not Set1	 20/06/2025     16:19:09	1
14		Not Set1	 20/06/2025     16:19:13	1
11		Not Set1	 20/06/2025     16:19:36	1
9		Not Set1	 20/06/2025     16:19:57	1
10		Not Set1	 20/06/2025     16:20:09	1
15		Not Set1	 20/06/2025     16:20:14	1
3		Not Set1	 23/06/2025     06:52:49	1
14		Not Set1	 23/06/2025     06:54:58	1
9		Not Set1	 23/06/2025     06:55:52	1
13		Not Set1	 23/06/2025     06:55:58	1
4		Not Set1	 23/06/2025     06:56:05	1
15		Not Set1	 23/06/2025     06:56:16	1
10		Not Set1	 23/06/2025     06:56:25	1
7		Not Set1	 23/06/2025     07:53:39	1
7		Not Set1	 23/06/2025     11:58:32	1
15		Not Set1	 23/06/2025     11:58:52	1
4		Not Set1	 23/06/2025     11:59:00	1
13		Not Set1	 23/06/2025     11:59:19	1
3		Not Set1	 23/06/2025     11:59:45	1
14		Not Set1	 23/06/2025     12:00:16	1
9		Not Set1	 23/06/2025     12:00:34	1
10		Not Set1	 23/06/2025     12:00:45	1
13		Not Set1	 23/06/2025     12:55:36	1
4		Not Set1	 23/06/2025     12:56:31	1
14		Not Set1	 23/06/2025     12:57:14	1
10		Not Set1	 23/06/2025     12:57:42	1
9		Not Set1	 23/06/2025     12:58:29	1
3		Not Set1	 23/06/2025     12:59:48	1
15		Not Set1	 23/06/2025     12:59:58	1
15		Not Set1	 23/06/2025     17:00:15	1
7		Not Set1	 23/06/2025     17:00:24	1
4		Not Set1	 23/06/2025     17:00:31	1
14		Not Set1	 23/06/2025     17:00:40	1
9		Not Set1	 23/06/2025     17:00:51	1
3		Not Set1	 23/06/2025     17:00:57	1
13		Not Set1	 23/06/2025     17:01:05	1
10		Not Set1	 23/06/2025     17:01:27	1
14		Not Set1	 24/06/2025     06:53:42	1
3		Not Set1	 24/06/2025     06:53:46	1
13		Not Set1	 24/06/2025     06:53:59	1
4		Not Set1	 24/06/2025     06:54:07	1
11		Not Set1	 24/06/2025     06:54:16	1
10		Not Set1	 24/06/2025     06:54:29	1
15		Not Set1	 24/06/2025     06:55:06	1
9		Not Set1	 24/06/2025     06:59:52	1
7		Not Set1	 24/06/2025     07:50:53	1
15		Not Set1	 24/06/2025     11:59:40	1
7		Not Set1	 24/06/2025     11:59:46	1
4		Not Set1	 24/06/2025     12:00:03	1
14		Not Set1	 24/06/2025     12:00:08	1
3		Not Set1	 24/06/2025     12:00:21	1
11		Not Set1	 24/06/2025     12:00:30	1
13		Not Set1	 24/06/2025     12:00:40	1
9		Not Set1	 24/06/2025     12:00:57	1
10		Not Set1	 24/06/2025     12:01:05	1
13		Not Set1	 24/06/2025     12:56:25	1
4		Not Set1	 24/06/2025     12:56:49	1
10		Not Set1	 24/06/2025     12:56:56	1
14		Not Set1	 24/06/2025     12:58:58	1
9		Not Set1	 24/06/2025     12:59:29	1
15		Not Set1	 24/06/2025     12:59:36	1
3		Not Set1	 24/06/2025     12:59:45	1
11		Not Set1	 24/06/2025     13:00:11	1
7		Not Set1	 24/06/2025     13:10:41	1
7		Not Set1	 24/06/2025     16:59:18	1
4		Not Set1	 24/06/2025     16:59:25	1
3		Not Set1	 24/06/2025     16:59:37	1
9		Not Set1	 24/06/2025     16:59:56	1
15		Not Set1	 24/06/2025     17:00:00	1
13		Not Set1	 24/06/2025     17:00:08	1
14		Not Set1	 24/06/2025     17:00:12	1
11		Not Set1	 24/06/2025     17:00:17	1
10		Not Set1	 24/06/2025     17:00:31	1
4		Not Set1	 25/06/2025     06:55:14	1
13		Not Set1	 25/06/2025     06:55:38	1
10		Not Set1	 25/06/2025     06:55:59	1
11		Not Set1	 25/06/2025     06:56:26	1
14		Not Set1	 25/06/2025     06:56:35	1
9		Not Set1	 25/06/2025     06:59:40	1
3		Not Set1	 25/06/2025     07:02:37	1
15		Not Set1	 25/06/2025     07:02:45	1
7		Not Set1	 25/06/2025     07:52:21	1
7		Not Set1	 25/06/2025     11:59:17	1
15		Not Set1	 25/06/2025     11:59:24	1
4		Not Set1	 25/06/2025     11:59:34	1
14		Not Set1	 25/06/2025     12:00:04	1
